cardId,listId,pageId,text
7848708,1,1,控偶师又一次失去了价值;最香的莫过于智慧碎片。现在跨界狗眼足够。智慧碎片限制了跨界的脚步。;其实我希望能在里面加上鹰眼药剂。药剂效果可以砍一刀。在初期缺暴击的情况下。鹰眼药剂真的很棒。;以前的马戏团冷却药剂是真的很香。加算减冷却。不过未来应该没可能再现了。现在好多人刷史诗套都追求伤害。追求数据。追求顶端。我就不一样了。我追求快乐～在有一定装备基础上自由发挥。如果能创造出自己的玩法那最好了。还记得以前猴戏能用的时候百花齐放。人都多大胆。猴戏有多高产。骚套路层出不穷。按最新的体验服更新来看感觉未来2+2重置券。深渊金色柱子几率药都是有可能的。过年出了谋略战。现在出了绝望塔。都是挺不错的活动。在每日刷图深渊打团副本之余添加量了不少趣味性。;ps:今年好像还没出啥养成活动呢！怕不是要养使徒宝宝来玩玩;装扮扩建啊啊啊啊 不想冲20块钱买7格 求送;来了。前排;CP护石;护石。符文。;控偶师什么时候才能站起来。气抖冷;附魔  勋章  守护石   强化/增幅药  强烈  深渊票  现在人偶也有了  还能加什么有用的东西?   魂灭结晶?暗魂水晶?护石符文? 反正就是缩短打造小号时间的东西呗;白字文章;我想要cp护石
7850600,1,1,打造就是红10耳环11武器12。附魔95毕业无神话;4000应该有吧;3400      ;3500上下;3200;5000e吧有神话6000e红10c也就这个水平了。修炼场精通的除外;3000      ;3500肯定有了吧;1000;5000没三觉的职业还没神话那叫垫底吗;那至少中等往上
7849941,1,1,单号3300？不可能把;没有也差不多了最少3000+。开始10天每天50*3+50*3+50*3。各种30 20 10 5不计其数。大概2排疲劳药。后来每天稳定60把左右;那你快出了;都TM出到小号上了…有时候一天十多闪的时候。感觉要粉…没疲劳了…换小号就特么闪给小号了…账号5神话全特么在小号上;那你咋不先刷小号。再怼大号;试过几次先打小号…大号直接光头
7850538,1,1,不是说什么养女儿啊。集卡。或者送代币券之类的。;落后版本或者版本末期的ss之路不算。那是糊弄小号的。;增幅11不碎不算。本质还是坑钱。;几个月前的免费团本票算一个吧。力度太小。;具体想要什么样的活动呢。我是指————举个例子吧。;譬如维持劳动节7天假期的————;你这也太棒了。难以想象;Ch:这个人永不录用;明天不用上班了。直接去深圳上班;DNF的福利活动也就那样吧;不太清楚;假期结束以后去tx报道 ;奔跑签到送天空套;我记得去年不是有过一个送200代币卷的活动吗。挺香的啊;看起来也太肝了。不过我喜欢
7850375,1,1,哈喽~各位沃特碧好鸭~COLG诚挚的欢迎各位优质帖子的作者们踊跃来稿！~只要被选上。就有奖励拿！;为了能够让大家更为专注内容质量。我们优化了稿酬评价标准;在保留了原来的评级标准同时上调了各个品级的基础奖励并取消了原有的;和;加成。新版奖励数值如下;PS：另外由于奖励上调。此前的QB折算奖励也将取消;下方表格内容为优质内容评级的参考依据。可供各位小伙伴们参考;看看;冲冲;来力;来力;来力;来看涨价;看看;挺好;希望下次测评贴可以盖章;与我无瓜~！
7850344,1,1,五一小长假即将到来。在假期结束之后会有一批道具即将删除。其中不乏价值较高的道具。大家要注意自身账号情况哦;五一期间登录即可领取的道具。容易被遗忘的小活动。奖励却是非常不错。大家要注意领取哦。;商城上架的小礼包。礼包中可开出不同种类的遗物。其中不乏品质上乘的好东西。有需求的小伙伴们可以考虑一下;抽卡小游戏。可挂机战斗是最大的特色。主要奖励是铭刻之石。异界气息净化书。异界气息扭转书。还没换取的要及时换取;预约角色满级后完成任务可获得永久的+12传说武器。如果还未全部完成的小伙伴趁有时间还可以抢救一下。差距很大的话就只能忍痛放弃了。;非常良心的可以查看自己出货率的小活动就要没了。其中有价值的道具有黄金增幅书。时间引导石礼盒。异界气息清除卷轴等;本次道具删除需要注意的几个活动有。全职业升级大挑战。DNF畅玩探索。九界宝图。;大家要注意自身账号情况。及时使用哦。祝大家假期愉快~;康康;假期愉快;爬塔快结束了。我TMD才到12层;然而第一个活动你不提醒我都忘记有这茬了;彻底忘记;辛苦啦。来了啦;好惹;假期愉快;康康;难道只有我一个人买了九界礼包直接打开的嘛？9个彩虹没用了
7849977,1,1,看看;拉了库里;今天好早;挤挤;该来神话套了;还好没这一套;这套有点弱;那个耳环的分身太恶心了;有丶辣鸡
7849355,8,1,我走的火强。但是没火属性攻击。星之海是冰光属性攻击。而大自然肩是火属性攻击触发24火强。大自然腰是冰属性攻击触发24冰强。那这种情况下我还能吃到24属强的属性吗？;星之海是自动同步火强到冰光强的。但是不知道这个优先级是什么。是先同步高火强。再触发冰强24的加成？还是触发24冰强的加成。然后火强较高把冰强覆盖了;200冰。100火。同步至200冰；;200冰。124火。还是200 冰；;我是火强高;盲猜是高盖低？你打个烈焰彼诺修上去解决一切问题;你火强会先同步到冰强  然后冰之海冰属性攻击 腰带+24 但如果你基本冰强加24超不过你基本火强 冰强等于没加;你肩膀的24火要自己想办法触发 就会先加火强然后同步冰强了;那就是所有属强按照你火强来同步。可以触发那24.;恰火蜥蜴;是的 火蜥蜴或者哈林光打一刀也行;简单一点。星之海你进图就给你平衡属强了。肩膀腰带你需要主动触发。优先级很明显了啊～;那不行;还是用晶体契约吧;如果你走暗。修炼场不想用晶体契约。还可以准备时放个鬼斩
7847525,1,1,沙发！;来了;换个颜色就当新款;来啦来啦;我真快;多少钱一个？;前排占坑;送点票吧;沙发   
7850275,8,1,真的是5个号的欧气全被鬼泣吸完了。跨了一件。这个搭配也算是顶级毕业了。       圆了我10W面板的梦。喷水了喷水了~;技能顺序那个三段斩和新技能是刚好截屏按到了。别在意          图片在一楼的回复里  没怎么用电脑端发过图  搞差了;file:///C:\Users\Angelica\Documents\Tencent Files\453676761\Image\C2C\B}I)HHF@J{95UBPE7]B@ZBH.jpg;吃糖;恭喜啊;吃糖;吃糖;吃糖;羡慕毕业;。。。。;file:///C:\Users\Angelica\Documents\Tencent Files\453676761\Image\C2C\B}I)HHF@J{95UBPE7]B@ZBH.jpg;吃糖
